"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_8","grape-c","rn","rcp60",2065,76.000019,204.671823,292.943404,153.249596,233.833818329698
"v_8","grape-c","rn","rcp60",2066,74.232333,202.165763,153.157637,78.410562,127.531881376204
"v_8","grape-c","rn","rcp60",2067,71.787097,287.998457,499.822846,283.126606,487.850159798233
"v_8","grape-c","rn","rcp60",2068,75.485891,143.615355,665.532856,392.971561,540.268546228522
"v_8","grape-c","rn","rcp60",2069,72.606536,195.243993,265.407167,202.247112,536.774220074315
"v_8","grape-c","rn","rcp60",2070,75.919203,221.097452,744.949394,539.049389,1041.31094707798
"v_8","grape-c","rn","rcp60",2071,76.600502,161.379266,974.212697,755.775062,1102.77081910661
"v_8","grape-c","rn","rcp60",2072,76.140003,202.044451,634.19814,388.76497,697.813102878869
"v_9","grape-c","cn","rcp26",2014,53.819548,148.186746,50.830937,97.63903,146.217393478451
"v_9","grape-c","cn","rcp26",2015,63.435071,147.422684,26.25926,8.699305,14.1603295057414
"v_9","grape-c","cn","rcp26",2016,64.325794,187.591884,88.350437,19.901196,55.013108258544
"v_9","grape-c","cn","rcp26",2017,64.488281,165.563439,280.726529,131.56224,216.403754283722
"v_9","grape-c","cn","rcp26",2018,63.851904,190.584741,472.791839,196.489554,310.43849788581
"v_9","grape-c","cn","rcp26",2019,65.300608,182.766419,31.369687,11.886451,48.4001026793854
"v_9","grape-c","cn","rcp26",2020,65.458267,159.823551,93.484404,57.45128,158.686531131841
"v_9","grape-c","cn","rcp26",2021,64.983562,181.129624,247.896632,84.774123,110.83574292138
"v_9","grape-c","cn","rcp26",2022,64.913224,191.710189,228.002395,81.447579,151.601012882763
"v_9","grape-c","cn","rcp26",2023,67.920076,150.597018,481.390269,229.407844,475.540974552948
"v_9","grape-c","cn","rcp26",2024,66.615962,155.590869,448.481758,229.585031,316.309069560855
"v_9","grape-c","cn","rcp26",2025,65.296991,165.639475,300.61726,119.658937,200.884964883002
"v_9","grape-c","cn","rcp26",2026,64.244421,130.353103,154.308072,50.847094,200.171268165815
"v_9","grape-c","cn","rcp26",2027,64.945564,204.713839,217.945938,49.415545,79.7491470882872
"v_9","grape-c","cn","rcp26",2028,66.734613,183.61435,273.651316,110.137157,175.335055008735
"v_9","grape-c","cn","rcp26",2029,64.924018,138.641836,171.975746,43.260478,67.4465786783002
"v_9","grape-c","cn","rcp26",2030,67.349044,149.555256,221.166898,55.90286,74.6146004422167
